targets_with_foreign_heat,median_related_fraction,mean_related_fraction,hops_1,hops_2,hops_3_plus,top_destination_related_count,control,edge_jaccard_vs_stored
21,0.5948319842840856,0.4532179683094729,11,9,1,12,1,0.7236467236467237
21,0.2891940439016784,0.37339887993095405,6,13,2,8,2,0.6324324324324324
21,0.5318445771141158,0.4692598233963988,5,9,7,11,3,0.5795275590551181
21,0.5274439601545307,0.4134462271529368,10,10,1,11,4,0.7119411431805319
21,0.2903424945583139,0.2901511713919664,5,8,8,8,5,0.5222222222222223
21,0.47788400091827676,0.4002648843190656,5,8,8,11,6,0.7366609294320138
21,0.48881675891467985,0.4096903856599865,5,8,8,11,7,0.6038338658146964
21,0.5578134857652091,0.4351961265708882,11,9,1,12,8,0.6811594202898551
21,0.45521808587781737,0.33932559053981587,5,7,9,11,9,0.48140900195694714
21,0.3178591212500683,0.3740348039722783,11,9,1,9,10,0.7193181818181819
20,0.4099109484007249,0.38215928191523457,5,7,8,10,11,0.5082130413140866
20,0.41358837150090777,0.41014633071083767,5,8,7,10,12,0.6233836206896551
21,0.2834546153168133,0.2897281676390359,5,7,9,9,13,0.5729166666666666
21,0.2392676033303103,0.3112395781418328,11,9,1,8,14,0.5971337579617835
14,0.01918854935264388,0.020536135744466655,0,0,14,0,15,0.6683333333333333
21,0.28929284605509525,0.35969876778551063,11,9,1,10,16,0.6945067264573991
21,0.336406148764112,0.32968892050024984,5,11,5,8,17,0.5467625899280576
21,0.5541885117612368,0.4947294060772253,5,8,8,11,18,0.7373913043478261
21,0.5106429629302333,0.4287030470601904,11,9,1,12,19,0.6391470749043193
21,0.5521430375325984,0.4730969113928621,6,14,1,11,20,0.6486338797814207
14,0.05840064777979012,0.09214046002554865,2,4,8,0,21,0.6457423580786026
14,0.030718839289472555,0.05814442347606891,2,4,8,0,22,0.5851735015772871
21,0.49628321457610586,0.4115000985543497,5,8,8,12,23,0.6115569823434992
21,0.2383958000002514,0.30812974590325526,11,9,1,7,24,0.5171717171717172
21,0.0349197169710194,0.22996219201761148,2,5,14,7,25,0.5762623633524206
21,0.5722735123772537,0.47058485941365535,10,10,1,11,26,0.6434782608695652
21,0.023849161227594787,0.21206888195979898,2,5,14,7,27,0.5511042629686698
21,0.6137515312531865,0.4210360555699917,5,8,8,11,28,0.6325530756668482
21,0.283743941750409,0.2874868758352721,5,10,6,9,29,0.5452695829094608
21,0.5078364362042557,0.3980092016473978,10,10,1,11,30,0.7256132344552196
21,0.45836820090849434,0.35039681310605175,5,7,9,11,31,0.7271157167530224
21,0.43527153382443834,0.3441111229920888,4,9,8,11,32,0.5479876160990712
21,0.29577001856007323,0.32060305939807093,6,14,1,9,33,0.5673426937077483
21,0.5884951291753678,0.498492807351169,6,14,1,11,34,0.6629955947136564
21,0.49179090118237134,0.3883572791192867,11,9,1,11,35,0.5399898115129903
20,0.26659228603473195,0.2936592637069719,4,7,9,10,36,0.6862745098039216
21,0.5212187299466408,0.4240876609428425,10,10,1,11,37,0.5895679662802951
21,0.5294421431009146,0.4617696192523585,5,9,7,11,38,0.7238204833141542
21,0.5249539019008087,0.44550970188489136,10,10,1,11,39,0.6043547530536378
20,0.3656481419649405,0.37676482374130826,5,9,6,10,40,0.6424308193163321
21,0.2578058181953203,0.32876124181612426,11,9,1,8,41,0.6651933701657459
21,0.5346312075695153,0.40134861661662147,4,9,8,11,42,0.6850704225352112
21,0.4322639939648161,0.35794900807660857,4,8,9,11,43,0.7181246426529445
21,0.4616944517036144,0.4462046965039323,11,9,1,20,44,0.567047817047817
14,0.0020411984136149194,0.005035130432581389,0,0,14,0,45,0.8625621890547264
21,0.15248254204290093,0.2728738758066318,4,10,7,7,46,0.5642225689027561
21,0.6066490976955359,0.6204936488712333,6,14,1,21,47,0.6025437201907791
21,0.49136240943119724,0.4010293532431744,10,10,1,11,48,0.5505387378142638
21,0.6843284518688137,0.6796260973627704,5,8,8,21,49,0.6978458049886621
21,0.48122558440279706,0.4062487488944198,5,9,7,11,50,0.6083690987124464
20,0.4257457085007805,0.3930255538817512,5,12,3,12,51,0.5791404612159329
14,0.027385104246929172,0.04159664663164664,0,3,11,0,52,0.6657397107897665
21,0.6610790358818941,0.4430674259832818,5,8,8,12,53,0.774822695035461
21,0.25606813963605746,0.31883167960882547,11,9,1,7,54,0.5883289124668435
21,0.45141822580693136,0.391622789964782,10,10,1,11,55,0.7088750706613907
21,0.26165060583982175,0.35145233216976457,10,10,1,7,56,0.6305525460455038
21,0.3447650679342308,0.35915519599837553,5,11,5,8,57,0.6933483652762119
21,0.3118281503994692,0.3092675056760195,5,11,5,9,58,0.6846496106785317
14,0.03898054421701257,0.04698823874992374,0,6,8,0,59,0.7317351598173516
21,0.33763997567189447,0.3886158406854586,11,9,1,8,60,0.6844741235392321
21,0.26960708297624597,0.3492309041371539,11,9,1,8,61,0.5570539419087137
14,0.013112366263246036,0.03621170829611388,0,1,13,0,62,0.5783132530120482
21,0.2465491674191268,0.35418866731390075,11,9,1,8,63,0.7182539682539683
21,0.22965687755672226,0.3049288826981413,11,9,1,7,64,0.5976768743400211
21,0.5962418184160454,0.4948028064392413,11,9,1,15,65,0.643993417443774
21,0.27025349314462715,0.3193000379277248,11,9,1,8,66,0.5542974781266083
21,0.6622476068395444,0.719251596061891,6,14,1,21,67,0.7265400115141047
21,0.48834095160582874,0.3990821471589793,5,9,7,11,68,0.5990466101694916
21,0.6970802792969906,0.7491175170613613,6,14,1,21,69,0.8486153846153847
21,0.6734683076654174,0.5149635350385099,6,14,1,12,70,0.6578512396694215
21,0.3115608642909296,0.31082003676598824,5,11,5,8,71,0.6596916299559471
21,0.5536525781694378,0.4949090333742246,5,8,8,11,72,0.776595744680851
21,0.5066577379842564,0.4155066610099138,5,8,8,11,73,0.615633423180593
21,0.6016812313680515,0.44496067026387137,5,8,8,11,74,0.7725397760754272
21,0.5987926641213054,0.5038040060920005,6,14,1,11,75,0.6578947368421053
21,0.5169570042647875,0.41659771094736114,11,9,1,11,76,0.7552325581395349
21,0.4286430220200689,0.33734802814141035,4,9,8,11,77,0.54341164453524
21,0.505690409810484,0.37405329737622295,10,10,1,11,78,0.6820712694877505
21,0.2654251834919394,0.3717250311880183,11,9,1,8,79,0.6853617498597869
21,0.6000589693005967,0.46689827687486823,11,9,1,12,80,0.6821963394342762
21,0.5308093957673903,0.43379343271409077,11,9,1,11,81,0.7622093023255814
14,0.02502706612691543,0.026606729435293807,0,0,14,0,82,0.6813310772701635
21,0.44292620718975095,0.3404438116649397,5,7,9,11,83,0.5203458799593083
21,0.2787522341514124,0.32644484826158354,11,9,1,8,84,0.5235943775100401
21,0.5142146454881097,0.4166851627177825,11,9,1,13,85,0.6287715517241379
21,0.6075856691575614,0.4784750969644641,5,9,7,11,86,0.6807670614777214
21,0.3107626543907045,0.30881380762460764,5,11,5,8,87,0.5412608918503332
21,0.50167059914724,0.44735672603294024,5,8,8,12,88,0.5509994874423373
21,0.256915039961044,0.3510667924998386,11,9,1,8,89,0.5898520084566596
21,0.23985284009807156,0.3115461068980854,11,9,1,7,90,0.5100401606425703
21,0.5115634520915868,0.4448707356469737,5,9,7,11,91,0.6904895891952729
14,0.027348830478307565,0.03068079125645514,0,0,14,0,92,0.5550957061562338
21,0.5817155057887798,0.41532826410008383,5,8,8,11,93,0.7050197405527355
21,0.32088326547532553,0.30376891763528907,5,8,8,9,94,0.5601445534331441
21,0.5422287582492867,0.420007174744738,5,8,8,12,95,0.5670636975660279
21,0.32311097726250815,0.3225778621235908,5,11,5,8,96,0.5359877488514548
21,0.4949251689828005,0.46996283116513216,11,9,1,12,97,0.6280947255113025
21,0.24733333062857374,0.31971338744353894,11,9,1,8,98,0.6219119226638024
21,0.7105590737520842,0.7468720298204418,6,14,1,21,99,0.7143671607753705
21,0.5112991066429208,0.4954537041685195,6,14,1,13,100,0.6810870770937326
