source_basename,destination_basename,real_median_foreign_share,null_median,null_q95,delta,p_right,q_bh_right
00_MCR_Origin.md,01_MCR_Transition-to-Formal.md,0.5478784691416377,0.11392941455678844,0.19255957534742305,0.4339490545848493,0.0001999600079984003,0.0009998000399920016
00_MCR_Origin.md,02_MCR_Formal-Plan.md,0.053546996504884835,0.1062399321852345,0.18551756297005187,-0.05269293568034967,0.9384123175364927,1.0
00_MCR_Origin.md,Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,0.03425444332198706,0.022856935878580335,0.068497416417578,0.011397507443406722,0.3121375724855029,0.6936390499677842
00_MCR_Origin.md,Analogistical-Constructivism-Deep-Research.md,0.1015255865315902,0.07470213534321804,0.1427229493806211,0.026823451188372163,0.23895220955808838,0.597380523895221
01_MCR_Transition-to-Formal.md,00_MCR_Origin.md,0.1273814439133926,0.06598218282480056,0.11724763782734679,0.06139926108859203,0.029194161167766446,0.08341188905076127
01_MCR_Transition-to-Formal.md,02_MCR_Formal-Plan.md,0.2264710753110609,0.11556657328986483,0.18062396520725052,0.11090450202119606,0.001799640071985603,0.005998800239952009
01_MCR_Transition-to-Formal.md,Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,0.1218604817377144,0.026839833100649076,0.0641205451958517,0.09502064863706532,0.0003999200159968006,0.0015996800639872025
01_MCR_Transition-to-Formal.md,Analogistical-Constructivism-Deep-Research.md,0.00913521575661423,0.08308139854347964,0.13928342575987696,-0.0739461827868654,1.0,1.0
02_MCR_Formal-Plan.md,00_MCR_Origin.md,0.006578201717574051,0.06154385990632373,0.1395364494616678,-0.05496565818874968,0.9982003599280144,1.0
02_MCR_Formal-Plan.md,01_MCR_Transition-to-Formal.md,0.09537084564312158,0.11886297496049554,0.21050849595389226,-0.02349212931737396,0.6888622275544891,1.0
02_MCR_Formal-Plan.md,Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,0.40547772683669786,0.0229898142289435,0.07891896474045511,0.3824879126077544,0.0001999600079984003,0.0009998000399920016
02_MCR_Formal-Plan.md,Analogistical-Constructivism-Deep-Research.md,0.003686467667417037,0.07666518818866777,0.16082784589040017,-0.07297872052125073,1.0,1.0
Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,00_MCR_Origin.md,0.0041174564156648726,0.06053980917834274,0.11786285802044993,-0.056422352762677874,0.9998000399920016,1.0
Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,01_MCR_Transition-to-Formal.md,0.06154418504869839,0.11215676110686083,0.18560970288006004,-0.050612576058162446,0.9296140771845631,1.0
Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,02_MCR_Formal-Plan.md,0.6233394867648876,0.10744177158995637,0.17453709517228877,0.5158977151749312,0.0001999600079984003,0.0009998000399920016
Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,Analogistical-Constructivism-Deep-Research.md,0.004738434260807277,0.07686364050372374,0.1395565788032785,-0.07212520624291646,1.0,1.0
Analogistical-Constructivism-Deep-Research.md,00_MCR_Origin.md,0.9107541955636345,0.03770743734877074,0.2294038751518694,0.8730467582148638,0.0001999600079984003,0.0009998000399920016
Analogistical-Constructivism-Deep-Research.md,01_MCR_Transition-to-Formal.md,0.06706400631591393,0.1077454805128816,0.31442213154042686,-0.040681474196967674,0.6484703059388123,1.0
Analogistical-Constructivism-Deep-Research.md,02_MCR_Formal-Plan.md,0.009057649814784872,0.09389407834992036,0.30626589171121965,-0.08483642853513548,0.9368126374725055,1.0
Analogistical-Constructivism-Deep-Research.md,Monotonic-Causal-Resolution-MCR_Problem-Solving-Method-v0.1.md,0.0077055530114258685,0.004642272061291948,0.13375813761637007,0.00306328095013392,0.3887222555488902,0.7774445110977805
